22,3 aout 2020 au 9 août 2020 (Quebec),https://assets.numeris.ca/Downloads/3%20aout%202020%20au%209%20aout%202020%20(Quebec).pdf,3 aout 2020 au 9 aout 2020 (Quebec).pdf,Semaine 50,18 août 2020,2020
23,27 juillet 2020 au 2 août 2020 (Quebecl),https://assets.numeris.ca/Downloads/27%20juillet%202020%20au%202%20aout%202020%20(Quebec).pdf,27 juillet 2020 au 2 aout 2020 (Quebec).pdf,Semaine 49,11 août 2020,2020
24,20 juillet 2020 au 26 juillet 2020 (Quebec),https://assets.numeris.ca/Downloads/20%20juillet%202020%20au%2026%20juillet%202020%20(Quebec).pdf,20 juillet 2020 au 26 juillet 2020 (Quebec).pdf,Semaine 48,5 août 2020,2020
25,13 juillet 2020 au 19 juillet 2020 (Quebec),https://assets.numeris.ca/Downloads/13%20juillet%202020%20au%2019%20juillet%202020%20(Quebec).pdf,13 juillet 2020 au 19 juillet 2020 (Quebec).pdf,Semaine 47,28 juillet 2020,2020
26,6 juillet 2020 au 12 juillet 2020 (Quebec),https://assets.numeris.ca/Downloads/6%20juillet%202020%20au%2012%20juillet%202020%20(Quebec).pdf,6 juillet 2020 au 12 juillet 2020 (Quebec).pdf,Semaine 46,21 juillet 2020,2020
27,29 juin 2020 au 5 juillet 2020 (Quebec),https://assets.numeris.ca/Downloads/29%20juin%202020%20au%205%20juillet%202020%20(Quebec).pdf,29 juin 2020 au 5 juillet 2020 (Quebec).pdf,Semaine 45,14 juillet 2020,2020
28,22 juin 2020 au 28 juin 2020 (Quebec),https://assets.numeris.ca/Downloads/22%20juin%202020%20au%2028%20juin%202020%20(Quebec).pdf,22 juin 2020 au 28 juin 2020 (Quebec).pdf,Semaine 44,7 juillet 2020,2020
29,15 juin 2020 au 21 juin 2020 (Quebec),https://assets.numeris.ca/Downloads/15%20juin%202020%20au%2021%20juin%202020%20(Quebec).pdf,15 juin 2020 au 21 juin 2020 (Quebec).pdf,Semaine 43,30 juin 2020,2020
30,8 juin 2020 au 14 juin 2020 (Quebec),https://assets.numeris.ca/Downloads/8%20juin%202020%20au%2014%20juin%202020%20(Quebec).pdf,8 juin 2020 au 14 juin 2020 (Quebec).pdf,Semaine 42,23 juin 2020,2020
31,1 juin 2020 au 7 juin 2020 (Quebec),https://assets.numeris.ca/Downloads/1%20juin%202020%20au%207%20juin%202020%20(Quebec).pdf,1 juin 2020 au 7 juin 2020 (Quebec).pdf,Semaine 41,16 juin 2020,2020
32,25 mai 2020 au 31 mai 2020 (Quebec),https://assets.numeris.ca/Downloads/25%20mai%202020%20au%2031%20mai%202020%20(Quebec).pdf,25 mai 2020 au 31 mai 2020 (Quebec).pdf,Semaine 40,9 juin 2020,2020
33,18 mai 2020 au 24 mai 2020 (Québec),https://assets.numeris.ca/Downloads/18%20mai%202020%20au%2024%20mai%202020%20(Quebec).pdf,18 mai 2020 au 24 mai 2020 (Quebec).pdf,Semaine 39,2 juin 2020,2020
